# compound id (and file prefix),SMILES,iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem),experimental value (kcal/mol),experimental uncertainty (kcal/mol),Mobley group calculated value (GAFF) (kcal/mol),calculated uncertainty (kcal/mol),dG (CgenFF) lrc,std (CgenFF),dG (corrected),Crooks correction,error,Exp,MM-ASFE,MM-ASFE-err,ML-ASFE,ML-ASFE-err
mobley_4587267,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O," (2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",-23.62,0.32,-18.16,0.09,-18.14,0.52,-23.96,-6.45,0.49,-23.62,-18.43358562,0.1150062832,-26.1820681,0.586675592
mobley_3210206,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]," 1,2-dinitroxypropane",-4.95,0.1,-5.65,0.04,-3.59,0.49,-6.68,-3.59,0.41,-4.95,-5.05606933,0.04610711869,-7.848750439,0.8172643004
mobley_3201701,Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,pirimor,-9.41,1.93,-13.87,0.04,-12.37,0.16,-14.27,-2.83,0.06,-9.41,-12.00990632,0.04727668823,-12.30325843,0.06060878954
mobley_3259411,C(C(CO)O)O,glycerol,-13.43,1,-10.14,0.04,-11.51,0.07,-13.22,-2.02,0.19,-13.43,-11.2753898,0.0536092035,-12.61695865,0.1245992005
mobley_8057732,c1cc(cc(c1)Cl)O,3-chlorophenol,-6.62,0.6,-5.02,0.03,-5.22,0.04,-6.49,-1.68,0.05,-6.62,-5.797974809,0.03072134608,-6.201853487,0.04777492224
mobley_1944394,CN(C)CCOC(c1ccccc1)c2ccccc2,[2-benzhydryloxyethyl]-dimethyl-amine,-9.34,0.62,-7.87,0.06,-4.69,0.4,-5.28,-1.56,0.12,-9.34,-7.580423411,0.05331764683,-8.809338722,0.1021611763
mobley_2316618,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO," 1-(2-hydroxyethylamino)-9,10-anthraquinone",-14.21,1.1,-13.6,0.05,-13.41,0.54,-13.86,-1.44,0.12,-14.21,-13.77737875,0.06979076436,-15.02081273,0.1586329914
mobley_9257453,c1cc(c(cc1O)Cl)Cl," 3,4-dichlorophenol",-7.29,0.1,-5.14,0.03,-5.53,0.06,-6.37,-1.32,0.06,-7.29,-5.750670951,0.03212584854,-5.863974652,0.04544611642
mobley_8449031,CCN(CC)CC," N,N-diethylethanamine",-3.22,0.6,-1.96,0.03,-1.91,0.37,-2.72,-1.21,0.09,-3.22,-0.4816972907,0.03116636893,-1.966562898,0.04830314706
mobley_2126135,CCc1ccccc1O,2-ethylphenol,-5.66,0.1,-4.77,0.03,-3.55,0.05,-4.27,-1.2,0.06,-5.66,-4.644223313,0.03431908006,-6.175945223,0.1022021249
mobley_1244778,C1CCCC(CC1)O,cycloheptanol,-5.48,0.6,-4.34,0.03,-3.94,0.06,-4.71,-1.19,0.07,-5.48,-4.241572011,0.03244640024,-4.341368606,0.04303259242
mobley_3359593,CCCc1ccc(c(c1)OC)O,4-propylguaiacol,-5.26,0.18,-4.13,0.05,-3.92,0.16,-4.36,-1.07,0.04,-5.26,-4.498239695,0.04687697261,-4.386494806,0.05316859813
mobley_7176248,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],trifluralin,-3.25,0.1,-2.02,0.04,-7.42,0.19,-7.34,-1.01,0.12,-3.25,-2.092949846,0.04510431123,-2.322323764,0.1497982522
mobley_5917842,Cc1ccc(c(c1)OC)O,4-methyl-2-methoxyphenol,-5.8,0.1,-4.55,0.04,-4.36,0.19,-4.83,-0.98,0.03,-5.8,-4.803337378,0.04339468791,-4.710531334,0.04631904192
mobley_5076071,CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]," 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",-5.66,1.93,-7.5,0.04,-9.96,0.18,-9.87,-0.97,0.07,-5.66,-8.398539065,0.04736022018,-8.325904643,0.08905982373
mobley_6190089,C(C(Cl)Cl)(Cl)Cl," 1,1,2,2-tetrachloroethane",-2.37,0.1,-0.53,0.03,-0.68,0.19,-1.23,-0.97,0.03,-2.37,-0.355993413,0.02627625524,-0.9925905559,0.04582559012
mobley_2958326,CCCNCCC,N-propylpropan-1-amine,-3.65,0.6,-2.23,0.03,-1.21,0.09,-1.64,-0.8,0.12,-3.65,-1.55830625,0.03439623837,-1.88882961,0.04743665773
mobley_3843583,c1ccc2c(c1)cccc2N,naphthalen-1-amine,-7.28,0.6,-7.78,0.03,-5.96,0.05,-6.11,-0.75,0.01,-7.28,-8.22024816,0.03374167211,-9.003412212,0.03827911898
mobley_5282042,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,Amitriptyline,-7.43,0.6,-7.35,0.05,-6.16,0.46,-5.7,-0.69,0.2,-7.43,-6.93034426,0.05106554615,-8.33208595,0.1534373952
mobley_337666,c1c(c(=O)[nH]c(=O)[nH]1)F,5-fluorouracil,-16.92,0.88,-16.37,0.03,-14.91,0.07,-15.16,-0.68,0.01,-16.92,-16.16984629,0.03350154653,-16.27515043,0.03735877025
mobley_5518547,Cc1ccc(cc1)N,4-methylaniline,-5.57,0.6,-5.49,0.03,-4.29,0.07,-4.44,-0.6,0.01,-5.57,-5.70643575,0.03044137045,-6.380531437,0.03334604055
mobley_7039935,c1ccc2c(c1)cccc2O,naphthalen-1-ol,-7.67,0.6,-7.14,0.03,-6.27,0.1,-6.29,-0.59,0.04,-7.67,-7.971050762,0.03478374134,-9.261302678,0.09817870479
mobley_1235151,CCCCC[N+](=O)[O-],1-nitropentane,-2.82,0.6,-1.32,0.03,-5.71,0.07,-5.84,-0.58,0.03,-2.82,-1.403264608,0.02977480048,-1.435345864,0.07436672921
mobley_7142697,CCCCCN,pentan-1-amine,-4.09,0.6,-2.83,0.03,-1.07,0.05,-1.3,-0.54,0.03,-4.09,-2.298420985,0.03147567369,-2.777692874,0.06313469591
mobley_6082662,c1cc(ccc1N)N(=O)=O,4-nitroaniline,-9.82,0.1,-9.42,0.03,-7.06,0.1,-7.08,-0.54,0.02,-9.82,-9.590006207,0.03187185914,-10.35927103,0.03521451076
mobley_718988,CCCCCCCN,heptan-1-amine,-3.79,0.6,-2.55,0.03,-0.82,0.08,-0.91,-0.52,0.03,-3.79,-2.315174228,0.03543944008,-2.849980611,0.06556893706
mobley_2023925,[C@@H](C(F)(F)F)(OC(F)F)Cl," 2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",0.1,0.6,-1.16,0.03,-3,0.16,-3.1,-0.44,0.02,0.1,-0.9908588702,0.03057208921,-0.5930867774,0.0783613304
mobley_7758918,CCC(=O)O,propionic acid,-6.46,0.6,-9.09,0.03,-4.26,0.22,-4.46,-0.44,0.02,-6.46,-6.44566969,0.02763623375,-6.43941567,0.0326222568
mobley_2929847,CC(C)CC(=O)O,3-methylbutanoic acid,-6.09,0.6,-8.84,0.03,-4.58,0.08,-4.68,-0.44,0.03,-6.09,-6.139825813,0.03313773512,-6.149263007,0.04278957327
mobley_3144334,Cc1ccc(c(c1)O)C," 2,5-dimethylphenol",-5.91,0.6,-5.01,0.03,-4.29,0.13,-4.2,-0.42,0.03,-5.91,-5.381724583,0.03238493588,-5.344533995,0.03834837127
mobley_8426916,CCNCC,N-ethylethanamine,-4.07,0.6,-2.99,0.03,0.03,0.1,-0.11,-0.4,0.08,-4.07,-2.131287781,0.02739074852,-2.655411199,0.03178723683
mobley_6060301,CCCCCCN,hexan-1-amine,-3.95,0.6,-2.77,0.03,-0.92,0.08,-0.94,-0.4,0.04,-3.95,-2.442105291,0.03328262299,-2.973072401,0.04875699045
mobley_4035953,Cc1ccccc1O,o-cresol,-5.9,0.2,-5.08,0.03,-4.41,0.04,-4.39,-0.39,0.03,-5.9,-5.546761234,0.03010622846,-5.53276584,0.03510838694
mobley_8207196,CCNc1nc(nc(n1)Cl)NCC,simazine,-10.22,0.1,-10.91,0.04,-0.9,0.07,-0.69,-0.38,0.03,-10.22,-11.40759993,0.04592453759,-11.68639025,0.1199998116
mobley_6201330,CCCOC(=O)c1ccc(cc1)O,propyl paraben,-9.37,0.22,-8.95,0.04,-7.4,0.13,-7.1,-0.36,0.02,-9.37,-9.808321531,0.04033936402,-9.486410586,0.04406443351
mobley_5510474,c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2," 1,2,3,4-tetrachlorodibenzo-p-dioxin",-3.81,0.14,-2.77,0.04,-2.75,0.06,-2.18,-0.35,0.03,-3.81,-3.489134003,0.03921183626,-3.616367441,0.04336835169
mobley_550662,CC(OC)(OC)OC," 1,1,1-trimethoxyethane",-4.42,0.6,-3.7,0.04,-2.98,0.14,-2.96,-0.35,0.05,-4.42,-4.176569411,0.03237367466,-4.411236098,0.05634141643
mobley_6266306,C1CNC1,azetidine,-5.56,0.6,-3.86,0.02,-3.1,0.02,-3.22,-0.34,0.02,-5.56,-4.232115529,0.02392251576,-3.988968067,0.03064229061
mobley_4609460,CCOC(=O)c1ccc(cc1)O,ethyl paraben,-9.2,0.3,-9.54,0.04,-7.53,0.05,-7.3,-0.34,0.02,-9.2,-10.090287,0.03691151525,-9.795662675,0.04021628081
mobley_8827942,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl," 1,2,4-trichlorodibenzo-p-dioxin",-4.05,0.1,-3.16,0.04,-2.77,0.07,-2.26,-0.34,0.02,-4.05,-3.934162253,0.03782623251,-4.073783019,0.04118563995
mobley_7860938,CCCCNCCCC,N-butylbutan-1-amine,-3.24,0.6,-2.08,0.03,-0.91,0.13,-0.74,-0.33,0.12,-3.24,-1.405866232,0.03808076808,-1.454734368,0.06756864778
mobley_1571523,Cc1cccc(c1C)O," 2,3-dimethylphenol",-6.16,0.6,-5.15,0.03,-4.33,0.1,-4.19,-0.33,0.02,-6.16,-5.549961676,0.0328438912,-5.564608239,0.03704356095
mobley_6006813,CCCC[N+](=O)[O-],1-nitrobutane,-3.09,0.6,-1.45,0.03,-5.81,0.13,-5.74,-0.31,0.02,-3.09,-1.54006321,0.02743431959,-1.441598825,0.07228396744
mobley_6743808,Cc1ccc(cc1C)O," 3,4-dimethylphenol",-6.5,0.6,-5.47,0.03,-4.96,0.08,-4.76,-0.3,0.01,-6.5,-5.859033244,0.0331953661,-6.254475728,0.04973409781
mobley_9671033,CCC[N+](=O)[O-],1-nitropropane,-3.34,0.6,-1.63,0.02,-5.99,0.07,-5.93,-0.27,0.02,-3.34,-1.690749485,0.02542442294,-1.808541649,0.05341088155
mobley_9624458,C(CCl)CCl," 1,3-dichloropropane",-1.89,0.6,-0.42,0.02,-0.2,0.27,-0.13,-0.26,0.01,-1.89,-0.4965072754,0.02644213166,-0.438579066,0.02820025515
mobley_8320545,CC[N+](=O)[O-],1-nitroethane,-3.71,0.6,-1.84,0.02,-6.1,0.02,-6.08,-0.24,0.01,-3.71,-1.906647521,0.02260916942,-1.895381599,0.02914414903
mobley_967099,CC(C)[N+](=O)[O-],2-nitropropane,-3.13,0.6,-1.74,0.02,-5.31,0.03,-5.26,-0.24,0.01,-3.13,-1.580889369,0.02598570567,-1.601050128,0.03310888702
mobley_8746821,Cc1cccnc1C," 2,3-dimethylpyridine",-4.82,0.6,-3.37,0.03,-3.35,0.05,-3.15,-0.22,0.01,-4.82,-3.49475144,0.02947825237,-3.485958421,0.03120179504
mobley_6338073,CCNc1nc(nc(n1)SC)NC(C)(C)C,terbutryn,-6.68,0.42,-9.27,0.04,-3.33,0.11,-2.65,-0.21,0.03,-6.68,-11.27944414,0.05043951851,-10.69606499,0.1089895809
mobley_7010316,C1CCC(CC1)O,cyclohexanol,-5.46,0.6,-4.18,0.03,-3.75,0.3,-3.6,-0.21,0.04,-5.46,-4.23516399,0.03056156705,-4.204925849,0.03248627252
mobley_8311303,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl," 1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",-4.38,0.22,-0.7,0.04,-3.52,0.04,-2.74,-0.21,0.02,-4.38,-1.449004023,0.03976966943,-1.476208036,0.04442290857
mobley_7066554,c1cc(ccc1O)Cl,4-chlorophenol,-7.03,0.6,-5.37,0.03,-5.56,0.05,-5.33,-0.18,0.01,-7.03,-6.044483033,0.0294931229,-6.016876942,0.03177193833
mobley_8208692,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",-4.61,0.25,-0.04,0.05,-3.19,0.13,-2.29,-0.17,0.01,-4.61,-0.8112586935,0.0421944962,-0.9588288206,0.04624416289
mobley_5026370,c1cnccc1C#N,pyridine-4-carbonitrile,-6.02,0.6,-5.76,0.03,-8.67,0.05,-8.4,-0.13,0.01,-6.02,-6.075447321,0.02827872342,-6.031391124,0.02977263985
mobley_1328465,C(C(Cl)Cl)Cl," 1,1,2-trichloroethane",-1.99,0.6,-0.38,0.03,-0.33,0.14,-0.1,-0.12,0.02,-1.99,-0.1166977759,0.02432799863,-0.04288836122,0.02669382739
mobley_7688753,c1cc(cc(c1)O)C=O,3-hydroxybenzaldehyde,-9.52,1.9,-9.37,0.03,-8.14,0.09,-7.84,-0.12,0.02,-9.52,-10.43084039,0.03242651554,-10.37890068,0.03783428537
mobley_1527293,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,flurbiprofen,-8.42,0.16,-13.95,0.05,-6.26,0.13,-5.51,-0.11,0.03,-8.42,-10.00877424,0.04351552351,-10.24192346,0.0511079245
mobley_9974966,CC(C)SC(C)C,2-isopropylsulfanylpropane,-1.21,0.6,0.14,0.03,1.35,0.12,1.71,-0.1,0.01,-1.21,0.1512047394,0.03083903977,0.06542981321,0.03406008118
mobley_1363784,Cc1cc(cnc1)C," 3,5-dimethylpyridine",-4.84,0.6,-2.87,0.03,-3.34,0.04,-3.01,-0.09,0.01,-4.84,-3.120574173,0.02958342851,-3.038457528,0.0310180364
mobley_3047364,CCNc1nc(nc(n1)SC)NC(C)C," 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",-7.65,0.45,-10.55,0.04,-3.55,0.17,-2.8,-0.07,0.03,-7.65,-10.87678087,0.04883053486,-11.34602223,0.08294983784
mobley_1708457,CS(=O)(=O)C,methylsulfonylmethane,-10.08,0.6,-10.56,0.03,-13.38,0.11,-13.11,-0.05,0.01,-10.08,-11.30473228,0.03050279773,-9.754923191,0.03323698496
mobley_9565165,c1ccc-2c(c1)Cc3c2cccc3,9H-fluorene,-3.35,0.6,-4.27,0.03,-9.23,0.05,-8.58,-0.04,0.02,-3.35,-4.640243787,0.03469648711,-4.632665233,0.03754623564
mobley_4983965,CCSCC,ethylsulfanylethane,-1.46,0.6,0.3,0.02,0.55,0.04,0.85,-0.04,0.01,-1.46,0.3921239975,0.02647319347,0.3341043588,0.06693731617
mobley_5494918,C(=C(F)F)(C(F)(F)F)F," 1,1,2,3,3,3-hexafluoroprop-1-ene",2.93,0.6,2.31,0.02,0.33,0.07,0.58,-0.04,0.01,2.93,2.419343048,0.02417677924,2.149439001,0.0442338822
mobley_4434915,CCl,chloromethane,-0.55,0.6,0.76,0.01,1.07,0.06,1.17,-0.04,0.01,-0.55,0.7950069615,0.01740304908,0.8065171982,0.01835039931
mobley_3762186,C(Cl)Cl,dichloromethane,-1.31,0.6,0.04,0.02,0.26,0.04,0.46,-0.03,0.01,-1.31,-0.05641730002,0.01932250423,-0.007460511174,0.02107695059
mobley_4013838,CC(C)C(=O)C(C)C," 2,4-dimethylpentan-3-one",-2.74,0.6,-2.63,0.03,-6.7,0.05,-6.27,0,0.02,-2.74,-2.538905132,0.03243677991,-2.468347614,0.03644905194
mobley_6358463,c1ccc(c(c1)C(F)(F)F)C(F)(F)F," 1,2-bis(trifluoromethyl)benzene",1.07,0.6,-1.44,0.03,-1.77,0.11,-1.28,0,0.01,1.07,-1.440927166,0.03214130988,-1.699060492,0.03770509797
mobley_2269032,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,naproxen,-10.21,0.18,-12.2,0.05,-7.6,0.48,-6.74,0.01,0.04,-10.21,-12.18269257,0.04325137502,-12.47526316,0.0638985318
mobley_5094777,c1ccc2c(c1)CCC2,indane,-1.46,0.6,-1.75,0.03,-6.13,0.05,-5.57,0.06,0.01,-1.46,-1.704372772,0.03074135187,-1.662659026,0.03298359743
mobley_632905,CC(=O)c1ccc(cc1)OC,1-(4-methoxyphenyl)ethanone,-4.4,0.6,-6.58,0.03,-7.13,0.04,-6.52,0.08,0.01,-4.4,-6.68281389,0.0347074269,-6.683404276,0.03936478315
mobley_5948990,c1ccc(c(c1)N)[N+](=O)[O-],2-nitroaniline,-7.37,0.6,-7.66,0.03,-5.83,0.11,-5.18,0.13,0.02,-7.37,-9.218719942,0.03197058631,-9.274326432,0.03723360382
mobley_2725802,CC(=O)N1CCCC1,1-pyrrolidin-1-ylethanone,-9.8,0.6,-7.83,0.03,-7.11,0.08,-6.47,0.16,0.01,-9.8,-7.036392924,0.03181767759,-6.87612116,0.0336411228
mobley_3968043,C1CCC(=O)C1,cyclopentanone,-4.7,0.6,-3.89,0.02,-2.05,0.04,-1.57,0.18,0.01,-4.7,-3.418688214,0.02751734754,-3.145292866,0.02989201792
mobley_7774695,CNc1ccccc1,N-methylaniline,-4.69,0.6,-5.72,0.03,-3.21,0.04,-2.54,0.27,0.02,-4.69,-5.137071764,0.03071138649,-5.403057299,0.03427897154
mobley_5286200,C(CCCl)CCl," 1,4-dichlorobutane",-2.32,0.6,-0.4,0.03,-0.23,0.3,0.6,0.44,0.03,-2.32,-0.6777277298,0.0296139102,-0.6860897138,0.03492306949
mobley_7463408,CCC(=O)Nc1ccc(c(c1)Cl)Cl," N-(3,4-dichlorophenyl)propanimidic acid",-7.78,1.93,-9.41,0.04,-11.33,0.22,,,,-7.78,-9.003892857,0.03964180285,-9.714653013,0.1270644158
mobley_9510785,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-phenyl-benzene",-3.48,1,-1.31,0.04,-2.65,0.07,,,,-3.48,-1.972457456,0.03852497253,-1.969366964,0.04201073642
mobley_1893937,CCCCCCCl,1-chlorohexane,0,0.6,1.26,0.03,1.29,0.12,,,,0,1.295361613,0.03062185103,1.296650116,0.04361600516
mobley_9979854,C[C@H](C(F)(F)F)O,111-trifluoropropan-2-ol,-4.2,0.2,-3.49,0.03,-2.75,0.02,,,,-4.2,-3.861012255,0.03134896154,-4.460899947,0.03868656052
mobley_2123854,c1cc(ccc1C#N)O,4-hydroxybenzonitrile,-10.17,0.6,-8.39,0.03,-8.98,0.08,,,,-10.17,-9.031502158,0.0314591419,-8.948260015,0.03347039837
mobley_6257907,c1cc(cc(c1)Cl)N,3-chloroaniline,-5.82,0.6,-5.14,0.03,-4.57,0.05,,,,-5.82,-5.667377686,0.02911458487,-6.413909365,0.03192063895
mobley_5326154,CN(C)c1ccccc1," N,N-dimethylaniline",-3.45,0.6,-4.43,0.03,-2.3,0.04,,,,-3.45,-4.068566455,0.03166852795,-4.666373813,0.03519350188
mobley_755351,COc1cccc(c1)N,3-methoxyaniline,-7.29,0.6,-7.2,0.03,-6.14,0.06,,,,-7.29,-7.542861764,0.03195928194,-8.374616867,0.03711306853
mobley_628086,C[C@@H](C(F)(F)F)O," 1,1,1-trifluoropropan-2-ol",-4.16,0.6,-3.52,0.03,-2.78,0.04,,,,-4.16,-3.849743864,0.0304302196,-4.561587434,0.03873094559
mobley_4218209,COc1ccc(cc1)N,4-methoxyaniline,-7.48,0.6,-7.02,0.03,-6.31,0.06,,,,-7.48,-7.261916146,0.0314932718,-8.018915812,0.03541796775
mobley_7859387,CCCCCCC=O,heptanal,-2.67,0.6,-2.7,0.03,-1.49,0.09,,,,-2.67,-2.400997104,0.03333479129,-2.146652375,0.06194632662
mobley_6727159,C(CO[N+](=O)[O-])O,2-(nitrooxy)ethan-1-ol,-8.18,0.1,-6.68,0.03,-6.93,0.07,,,,-8.18,-6.288986338,0.03127152078,-7.49434493,0.08229635762
mobley_2178600,CCCCCCl,1-chloro-pentane,-0.1,0.2,1.08,0.03,1.11,0.12,,,,-0.1,1.137131246,0.0280032004,1.146383272,0.03817794783
