"Mol_ID"," SMILES"," iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem)","Exp [kcal/mol]","MM-ASFE [kcal/mol]","MM-ASFE-err [kcal/mol]","ML-ASFE [kcal/mol]","ML-ASFE-err [kcal/mol]","dG (TF)","std (TF)","Crooks result","Crooks correction","Jar result","Jar correction","error"
"mobley_4609460"," CCOC(=O)c1ccc(cc1)O"," ethyl paraben",-9.2,-10.09,0.037,-9.796,0.04,-7.53,0.05,-7.87,-0.34,-7.88,-0.35,0.04
"mobley_3259411"," C(C(CO)O)O"," glycerol",-13.43,-11.275,0.054,-12.617,0.125,-11.51,0.07,-13.53,-2.02,-12.54,-1.03,0.35
"mobley_4395315"," Cc1cc(ccc1Cl)O"," 4-chloro-3-methyl-phenol",-6.79,-5.777,0.032,-5.962,0.053,-5.06,0.04,-5.26,-0.2,-5.18,-0.21,0.02
"mobley_590519"," CCSSCC"," ethyldisulfanylethane",-1.64,-1.014,0.029,-0.983,0.074,0.11,0.09,0.09,-0.02,0.09,-0.02,0.03
"mobley_4780078"," Cc1ccc(c(c1)C)O"," 2,4-dimethylphenol",-6.01,-4.971,0.034,-6.159,0.119,-4.3,0.04,-4.72,-0.42,-4.71,-0.41,0.03
"mobley_632905"," CC(=O)c1ccc(cc1)OC"," 1-(4-methoxyphenyl)ethanone",-4.4,-6.683,0.035,-6.683,0.039,-7.13,0.04,-7.05,0.08,-7.06,0.07,0.02
"mobley_7176290"," c1cc(cc(c1)O)[N+](=O)[O-]"," 3-nitrophenol",-9.62,-8.274,0.031,-8.283,0.066,-7.93,0.13,-8.08,-0.15,-8.02,-0.09,0.04
"mobley_5467162"," CC(C)(C)c1ccc(cc1)O"," 4-tert-butylphenol",-5.91,-5.794,0.036,-5.795,0.039,-4.31,0.06,-4.6,-0.29,-4.6,-0.29,0.01
"mobley_3663158"," c1ccc2cc(ccc2c1)O"," naphthalen-2-ol",-8.11,-8.358,0.034,-8.492,0.064,-6.51,0.08,-6.57,-0.06,-6.62,-0.11,0.03
"mobley_8320545"," CC[N+](=O)[O-]"," 1-nitroethane",-3.71,-1.907,0.023,-1.895,0.029,-6.1,0.02,-6.34,-0.24,-6.34,-0.24,0.02
"mobley_3144334"," Cc1ccc(c(c1)O)C"," 2,5-dimethylphenol",-5.91,-5.382,0.032,-5.345,0.038,-4.29,0.13,-4.71,-0.42,-4.77,-0.48,0.05
"mobley_8827942"," c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl"," 1,2,4-trichlorodibenzo-p-dioxin",-4.05,-3.934,0.038,-4.074,0.041,-2.77,0.07,-3.11,-0.34,-3.1,-0.33,0.04
"mobley_2354112"," CCc1cccc(c1)O"," 3-ethylphenol",-6.25,-5.792,0.033,-6.114,0.051,-4.63,0.07,-4.86,-0.23,-4.86,-0.23,0.02
"mobley_6190089"," C(C(Cl)Cl)(Cl)Cl"," 1,1,2,2-tetrachloroethane",-2.37,-0.356,0.026,-0.993,0.046,-0.68,0.19,-1.6,-0.92,-0.48,-0.04,0.01
"mobley_7364468"," CC1=CC(=O)CC(C1)(C)C"," 3,5,5-trimethylcyclohex-2-en-1-one",-5.18,-3.948,0.034,-3.843,0.037,-3.59,0.06,-3.57,0.02,-3.56,0.03,0.01
"mobley_3414356"," CCCC(C)(C)O"," 2-methylpentan-2-ol",-3.92,-3.113,0.031,-3.17,0.051,-2.22,0.1,-2.49,-0.27,-2.56,-0.34,0.04
"mobley_1755375"," Cc1cccc(c1O)C"," 2,6-dimethylphenol",-5.26,-4.82,0.032,-4.847,0.035,-3.65,0.09,-4.06,-0.41,-4.05,-0.4,0.02
"mobley_7378987"," Cn1cnc2c1c(=O)n(c(=O)n2C)C"," caffeine",-12.64,-16.785,0.04,-16.468,0.046,-15.54,0.11,-15.47,0.07,-15.53,0.01,0.04
"mobley_7010316"," C1CCC(CC1)O"," cyclohexanol",-5.46,-4.235,0.031,-4.205,0.032,-3.75,0.3,-3.96,-0.21,-3.86,-0.11,0.05
"mobley_8048190"," CC(=O)N"," acetamide",-9.71,-8.598,0.026,-8.672,0.029,-7.86,0.07,-8.02,-0.16,-8.02,-0.16,0.01
"mobley_5948990"," c1ccc(c(c1)N)[N+](=O)[O-]"," 2-nitroaniline",-7.37,-9.219,0.032,-9.274,0.037,-5.83,0.11,-5.7,0.13,-5.7,0.13,0.03
"mobley_3264884"," c1ccc2cc(ccc2c1)N"," naphthalen-2-amine",-7.47,-8.328,0.034,-8.953,0.039,-5.98,0.1,-6.5,-0.52,-6.49,-0.51,0.01
"mobley_3201701"," Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C"," pirimor",-9.41,-12.01,0.047,-12.303,0.061,-12.37,0.16,-15.2,-2.83,-15.21,-2.84,0.15
"mobley_1328465"," C(C(Cl)Cl)Cl"," 1,1,2-trichloroethane",-1.99,-0.117,0.024,-0.043,0.027,-0.33,0.14,-0.31,0.02,-0.41,-0.17,0.01
"mobley_3034976"," CC(=O)O"," acetic acid",-6.69,-12.425,0.029,-13.251,0.042,-4.93,0.2,-5.21,-0.28,-5.22,-0.29,0.01
"mobley_1363784"," Cc1cc(cnc1)C"," 3,5-dimethylpyridine",-4.84,-3.121,0.03,-3.038,0.031,-3.34,0.04,-3.43,-0.09,-3.42,-0.08,0.02
"mobley_8311303"," c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl"," 1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",-4.38,-1.449,0.04,-1.476,0.044,-3.52,0.04,-3.65,-0.13,-4.21,-0.13,0.02
"mobley_4371692"," c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N"," 1-amino-4-hydroxy-9,10-anthracenedione",-9.53,-11.756,0.049,-11.967,0.055,-12.25,0.04,-12.12,0.13,-12.12,0.13,0.02
"mobley_667278"," c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl"," 1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",-4.4,-1.486,0.042,-1.625,0.048,-3.75,0.17,-4.02,-0.27,-4.62,-0.28,0.02
"mobley_8449031"," CCN(CC)CC"," N,N-diethylethanamine",-3.22,-0.482,0.031,-1.967,0.048,-1.91,0.37,-3.12,-1.21,-2.69,-0.78,0.11
"mobley_7913234"," CCCCOC[C@H](C)O"," 1-butoxy-2-propanol",-5.73,-3.915,0.042,-4.195,0.081,-4.54,0.08,-4.86,-0.32,-4.73,-0.19,0.12
"mobley_4603202"," C(CCl)OCCCl"," 1-chloro-2-(2-chloroethoxy)ethane",-4.23,-2.523,0.042,-2.439,0.048,-3.01,0.19,-3.86,-0.85,-3.94,-0.99,0.16
"mobley_2099370"," C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O"," ketoprofen",-10.78,-13.397,0.047,-13.47,0.062,-10.12,0.08,-10.1,0.02,-10.04,0.08,0.04
"mobley_6727159"," C(CO[N+](=O)[O-])O"," 2-(nitrooxy)ethan-1-ol",-8.18,-6.289,0.031,-7.494,0.082,-6.93,0.07,-6.79,0.14,-6.65,0.28,0.12
"mobley_2659552"," Cc1ccc(cc1)C(=O)N(C)C"," N,N-4-trimethylbenzamide",-9.76,-7.632,0.038,-7.347,0.042,-8.91,0.11,-8.66,0.25,-8.66,0.25,0.02
"mobley_2371092"," Cc1ccncc1C"," 3,4-dimethylpyridine",-5.22,-3.426,0.029,-3.429,0.031,-4.2,0.04,-4.38,-0.18,-4.38,-0.18,0.02
"mobley_3105103"," Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl"," terbacil",-11.14,-13.633,0.041,-13.713,0.05,-10.58,0.27,-10.59,-0.01,-10.59,0.01,0.03
"mobley_5760563"," COS(=O)(=O)OC"," dimethyl sulfate",-5.1,-7.296,0.031,-7.467,0.04,-6.8,0.08,-6.58,0.22,-6.86,-0.06,0.16
"mobley_8578590"," CS(=O)C"," methylsulfinylmethane",-9.28,-7.082,0.026,-7.565,0.031,-10.78,0.13,-10.63,0.15,-10.64,0.14,0.01
"mobley_5692472"," CNC"," N-methylmethanamine",-4.29,-2.522,0.022,-2.984,0.025,-3.18,0.01,-3.4,-0.22,-3.4,-0.22,0.01
"mobley_8052240"," c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N"," 1-amino-9,10-anthracenedione",-9.44,-12.775,0.041,-13.227,0.05,-11.45,0.07,-11.48,-0.03,-11.49,-0.04,0.02
"mobley_9897248"," CC(=CCC/C(=C\CO)/C)C"," (2Z)-3,7-dimethylocta-2,6-dien-1-ol",-4.78,-3.02,0.039,-2.974,0.157,-4.28,0.28,-4.62,-0.34,-4.53,-0.25,0.07
"mobley_4845722"," c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl"," hexachlorobenzene",-2.33,0.042,0.033,-0.164,0.041,-1.87,0.1,-1.98,-0.11,-2.77,-0.1,0.02
"mobley_7988076"," c1cc(ccc1C=O)O"," 4-hydroxybenzaldehyde",-8.83,-10.568,0.033,-10.427,0.037,-8.13,0.11,-8.34,-0.21,-8.37,-0.24,0.02
"mobley_5880265"," CCCCOCCO"," 2-butoxyethanol",-6.25,-4.303,0.037,-4.94,0.062,-5.59,0.09,-5.79,-0.2,-5.75,-0.16,0.05
"mobley_4463913"," CC(OC(=O)C)OC(=O)C"," 1-acetoxyethyl acetate",-4.97,-7.349,0.036,-7.686,0.074,-6.45,0.22,-6.99,-0.54,-7,-0.55,0.14
"mobley_6474572"," C=CCl"," chloroethylene",-0.59,1.088,0.019,1.049,0.021,0.28,0.08,0.25,-0.03,0.25,-0.03,0.01
"mobley_2850833"," c1ccc(c(c1)C=O)O"," 2-hydroxybenzaldehyde",-4.68,-8.259,0.039,-0.792,0.072,-6.13,0.05,-11.49,-5.36,-6.77,-0.64,0.16
"mobley_8823527"," c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl"," 1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",-3.61,-1.72,0.039,-1.74,0.044,-3.49,0.05,-3.63,-0.14,-3.96,-0.14,0.02
"mobley_6198745"," CC(=O)OCC(COC(=O)C)OC(=O)C"," 2,3-diacetoxypropyl acetate",-8.84,-12.171,0.065,-12.138,0.124,-10.5,0.11,-11.27,-0.77,-10.77,-0.27,0.21
"mobley_1743409"," CCOC(=O)CCC(=O)OCC"," diethyl butanedioate",-5.71,-7.609,0.059,-7.871,0.08,-7.27,0.11,-7.49,-0.22,-7.48,-0.21,0.04
"mobley_8882696"," C1CCOC1"," tetrahydrofuran",-3.47,-1.807,0.025,-1.749,0.027,-2.72,0.05,-2.83,-0.11,-2.82,-0.1,0.01
"mobley_3686115"," CCOC(C)OCC"," 1,1-diethoxyethane",-3.28,-1.287,0.037,-1.819,0.064,-2.69,0.11,-3.13,-0.44,-3.16,-0.47,0.05
"mobley_5003962"," c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N"," 2-amino-9,10-anthraquinone",-11.53,-14.298,0.042,-14.806,0.045,-13.35,0.04,-13.7,-0.35,-13.71,-0.36,0.01
"mobley_4687447"," CCCOCCO"," 2-propoxyethanol",-6.4,-4.195,0.035,-5.514,0.047,-5.8,0.07,-6.07,-0.27,-6.14,-0.34,0.06
"mobley_4936555"," Cc1cccc(c1C)Nc2ccccc2C(=O)O"," 2-(2,3-dimethylphenyl)aminobenzoic acid",-6.78,-9.418,0.047,-8.767,0.125,-6.76,0.11,-6.33,0.43,-5.67,1.09,0.17
"mobley_7415647"," CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-]"," N,N-dimethyl-4-nitro-benzamide",-11.95,-9.792,0.038,-9.531,0.041,-11.84,0.28,-11.66,0.18,-11.64,0.2,0.02
"mobley_9626434"," CCOCCO"," 2-ethoxyethanol",-6.69,-4.66,0.033,-5.228,0.042,-6.13,0.03,-6.33,-0.2,-6.37,-0.24,0.05
"mobley_4850657"," CS(=O)(=O)Cl"," methanesulfonyl chloride",-4.87,-6.84,0.027,-5.857,0.029,-4.32,0.08,-4.3,0.02,-4.07,0.01,0.01
"mobley_9913368"," C(=C/Cl)\Cl"," (E)-1,2-dichloroethylene",-0.78,0.963,0.021,0.908,0.023,-0.18,0.04,-0.22,-0.04,-0.37,-0.04,0.03
"mobley_5600967"," CN(C)C(=O)c1ccc(cc1)OC"," 4-methoxy-N,N-dimethyl-benzamide",-11.01,-9.121,0.039,-8.994,0.048,-10.86,0.16,-10.65,0.21,-10.65,0.21,0.02
"mobley_3323117"," C1CC[S+2](C1)([O-])[O-]"," sulfolane",-8.61,-10.674,0.031,-9.673,0.037,-9.89,0.07,-10.06,-0.17,-10.06,-0.17,0.02
"mobley_3325209"," COC(c1ccccc1)(OC)OC"," trimethoxymethylbenzene",-4.04,-5.722,0.038,-6.277,0.063,-3.88,0.11,-4.21,-0.33,-4.2,-0.32,0.04
"mobley_5816127"," COCCO"," 2-methoxyethanol",-6.62,-4.803,0.031,-5.986,0.043,-6.15,0.04,-6.32,-0.17,-6.32,-0.17,0.04
"mobley_9794857"," CC(C)(C)OC"," 2-methoxy-2-methyl-propane",-2.21,-0.549,0.028,-0.536,0.029,-1.82,0.06,-1.74,0.08,-1.74,0.08,0.01
"mobley_7017274"," c1ccc2c(c1)ccc3c2cccc3"," phenanthrene",-3.88,-5.595,0.035,-5.472,0.039,-3.94,0.13,-3.82,0.12,-3.82,0.12,0.01
"mobley_5732611"," Cc1c[nH]cn1"," 4-methyl-1H-imidazole",-10.27,-8.058,0.027,-8.049,0.032,-11.11,0.04,-11.18,-0.07,-11.19,-0.08,0.01
"mobley_646007"," C1CCNC1"," pyrrolidine",-5.48,-3.61,0.026,-3.818,0.028,-5.27,0.06,-5.59,-0.32,-5.59,-0.32,0.02
"mobley_6854178"," CC(C)OC=O"," isopropyl formate",-2.02,-3.777,0.033,-2.123,0.106,-2.76,0.04,-2.79,-0.03,-2.81,-0.05,0.01
"mobley_951560"," C1CNCCN1"," piperazine",-7.4,-9.114,0.032,-9.368,0.035,-7.24,0.37,-7.56,-0.32,-7.61,-0.37,0.05
"mobley_2577969"," c1cc2ccc3cccc4c3c2c(c1)cc4"," pyrene",-4.52,-7.261,0.037,-7.107,0.041,-4.91,0.05,-4.79,0.12,-4.79,0.12,0.01
"mobley_9073553"," CSC"," methylsulfanylmethane",-1.61,0.666,0.022,0.619,0.024,-1.5,0.07,-1.36,0.14,-1.37,0.13,0.01
"mobley_7455579"," CC(C)COC=O"," isobutyl formate",-2.22,-3.879,0.034,-2.174,0.064,-2.17,0.09,-2.3,-0.13,-2.2,-0.03,0.03
"mobley_242480"," c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N"," 1,4-diamino-9,10-anthracenedione",-11.85,-16.003,0.043,-16.871,0.05,-13.13,0.17,-13.63,-0.5,-13.64,-0.51,0.02
"mobley_8124669"," CCc1cccc(c1N(COC)C(=O)CCl)CC"," alachlor",-8.21,-6.042,0.047,-5.127,0.113,-8.91,0.23,-9.79,-0.88,-9.96,-1.35,0.18
"mobley_1396156"," c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O"," pentachloronitrobenzene",-5.22,-1.446,0.034,-1.514,0.038,-6.14,0.08,-6.43,-0.29,-7.42,-0.29,0.02
"mobley_5499659"," Cn1ccnc1"," 1-methylimidazole",-8.41,-6.07,0.027,-6.125,0.032,-8.58,0.05,-8.59,-0.01,-8.57,0.01,0.02
"mobley_6843802"," c1ccc(cc1)O[C@@H](C(F)F)F"," 1,2,2-trifluoroethoxybenzene",-1.29,-3.276,0.038,-2.705,0.083,-1.61,0.22,-2.12,-0.51,-2.26,-0.65,0.05
"mobley_5200358"," CC(C)(/C=N\OC(=O)NC)SC"," aldicarb",-9.84,-7.552,0.055,-8.23,0.131,-10.5,0.83,-12.63,-2.13,-11.22,-0.72,0.19
"mobley_8754702"," CCCOC=O"," propyl formate",-2.48,-4.286,0.033,-3.138,0.061,-2.83,0.04,-2.92,-0.09,-3,-0.17,0.03
