# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol),dG (TF),std (TF),diff (TF vs exp),diff (GAFF vs exp),dG (Brooks),diff (Brooks vs TF),,,,,,,RMSE(Brooks vs TF),RMSE (TF vs exp)
mobley_6804509, c1c(c(cc(c1Cl)Cl)Cl)Cl," 1,2,4,5-tetrachlorobenzene",-1.34,0.6,0.04,0.03,-0.96,0.1,0.38,1.38,-1.916667,0.956667,,,,,,,0.92,0.14
mobley_7142697, CCCCCN, pentan-1-amine,-4.09,0.6,-2.83,0.03,-0.76,0.05,3.33,1.26,-1.716667,0.956667,,,,,,,0.92,11.09
mobley_397645, CCOC(=O)c1ccccc1, ethyl benzoate,-3.64,0.6,-4.6,0.03,-2.49,0.08,1.15,0.96,-3.446667,0.956667,,,,,,,0.92,1.32
mobley_4193752, c1ccc(cc1)[N+](=O)[O-], nitrobenzene,-4.12,0.6,-3.46,0.03,-2.7,0.11,1.42,0.66,-3.653333,0.953333,,,,,,,0.91,2.02
mobley_7295828, COc1ccccc1, anisole,-2.45,0.6,-2.32,0.03,-2.02,0.08,0.43,0.13,-2.966667,0.946667,,,,,,,0.90,0.18
mobley_8057732, c1cc(cc(c1)Cl)O, 3-chlorophenol,-6.62,0.6,-5.02,0.03,-4.81,0.04,1.81,1.60,-5.753333,0.943333,,,,,,,0.89,3.28
mobley_1424265, Cc1cccc(c1)C, m-xylene,-0.83,0.6,-0.7,0.03,0.43,0.05,1.26,0.13,-0.506667,0.936667,,,,,,,0.88,1.59
mobley_7573149, CCCOC(=O)C, propyl acetate,-2.79,0.6,-3.49,0.03,-2.77,0.03,0.02,0.70,-3.703333,0.933333,,,,,,,0.87,0.00
mobley_9112978, CC/C=C\C, pent-2-ene,1.31,0.6,2.37,0.02,1.88,0.08,0.57,1.06,0.946667,0.933333,,,,,,,0.87,0.32
mobley_2213823, CCC(C)CC, 3-methylpentane,2.51,0.6,2.61,0.03,2.96,0.08,0.45,0.10,2.026667,0.933333,,,,,,,0.87,0.20
mobley_8514745, CCCCCOC(=O)C, pentyl acetate,-2.51,0.6,-2.56,0.03,-2.22,0.14,0.29,0.05,-3.143333,0.923333,,,,,,,0.85,0.08
mobley_2782339, c1ccc2c(c1)C(=O)NC2=O, phthalimide,-9.61,0.5,-11.82,0.03,-18.54,0.12,8.93,2.21,-19.446667,0.906667000000002,,,,,,,0.82,79.74
mobley_7983227, CC[C@@H](C)CO, 2-methylbutan-1-ol,-4.42,0.6,-3,0.03,-3.52,0.05,0.90,1.42,-4.423333,0.903333,,,,,,,0.82,0.81
mobley_2751110, c1cc(ccc1[N+](=O)[O-])O, 4-nitrophenol,-10.64,0.6,-8.47,0.03,-7.48,0.02,3.16,2.17,-8.383333,0.903333,,,,,,,0.82,9.99
mobley_2371092, Cc1ccncc1C," 3,4-dimethylpyridine",-5.22,0.6,-3.2,0.03,-3.78,0.04,1.44,2.02,-4.68,0.9,,,,,,,0.81,2.07
mobley_9557440, c1c(c(=O)[nH]c(=O)[nH]1)Cl, 5-chlorouracil,-17.74,0.78,-16.61,0.03,-13.6,0.02,4.14,1.13,-14.483333,0.883333,,,,,,,0.78,17.14
mobley_5094777, c1ccc2c(c1)CCC2, indane,-1.46,0.6,-1.75,0.03,-5.63,0.05,4.17,0.29,-6.513333,0.883333,,,,,,,0.78,17.39
mobley_7039935, c1ccc2c(c1)cccc2O, naphthalen-1-ol,-7.67,0.6,-7.14,0.03,-5.7,0.1,1.97,0.53,-6.58,0.88,,,,,,,0.77,3.88
mobley_1046331, c1ccc(cc1)OC=O, phenyl formate,-3.82,0.6,-5.44,0.03,-4.18,0.05,0.36,1.62,-5.056667,0.876667000000001,,,,,,,0.77,0.13
mobley_1838110, C(C(F)(Cl)Cl)(F)(F)Cl," 1,1,2-trichloro-1,2,2-trifluoro-ethane",1.77,0.6,1.69,0.03,1.09,0.08,0.68,0.08,0.22,0.87,,,,,,,0.76,0.46
mobley_6571751, CC1=CCCCC1, 1-methylcyclohexene,0.67,0.6,1.34,0.03,1.25,0.07,0.58,0.67,0.383333,0.866667,,,,,,,0.75,0.34
mobley_7176290, c1cc(cc(c1)O)[N+](=O)[O-], 3-nitrophenol,-9.62,0.6,-7.89,0.03,-7.42,0.13,2.20,1.73,-8.286667,0.866667,,,,,,,0.75,4.84
mobley_7814642, c1cc(c(cc1Cl)Cl)Cl," 1,2,4-trichlorobenzene",-1.12,0.6,-0.12,0.03,-1.1,0.12,0.02,1.00,-1.96,0.86,,,,,,,0.74,0.00
mobley_2864987, CCC[C@@H](C)O, pentan-2-ol,-4.39,0.6,-2.94,0.03,-2.9,0.04,1.49,1.45,-3.753333,0.853333,,,,,,,0.73,2.22
mobley_5857, c1ccc2c(c1)cccn2, quinoline,-5.72,0.6,-4.99,0.03,-5.4,0.13,0.32,0.73,-6.25,0.85,,,,,,,0.72,0.10
mobley_337666, c1c(c(=O)[nH]c(=O)[nH]1)F, 5-fluorouracil,-16.92,0.88,-16.37,0.03,-14.48,0.07,2.44,0.55,-15.326667,0.846667,,,,,,,0.72,5.95
mobley_8809274, c1ccc(cc1)C(F)(F)F, trifluoromethylbenzene,-0.25,0.6,-0.57,0.03,-0.1,0.02,0.15,0.32,-0.933333,0.833333,,,,,,,0.69,0.02
mobley_3777264, c1cc(cc(c1)[N+](=O)[O-])N, 3-nitroaniline,-8.84,0.6,-8.2,0.03,-6.42,0.07,2.42,0.64,-7.246667,0.826667000000001,,,,,,,0.68,5.86
mobley_8772587, CCCCI, 1-iodobutane,-0.25,0.6,-0.22,0.03,-0.34,0.16,0.09,0.03,-1.166667,0.826667,,,,,,,0.68,0.01
mobley_4338603, c1c(=O)[nH]c(=O)[nH]c1Cl, 6-chlorouracil,-15.83,1.22,-15.13,0.03,-15.19,0.07,0.64,0.70,-16.01,0.820000000000002,,,,,,,0.67,0.41
mobley_5571660, Cc1cccc(c1N)C," 2,6-dimethylaniline",-5.21,0.6,-5.57,0.03,-6.74,0.12,1.53,0.36,-7.556667,0.816667,,,,,,,0.67,2.34
mobley_9883303, CCC[C@H](C)CC, 3-methylhexane,2.71,0.6,2.81,0.03,3.16,0.07,0.45,0.10,2.35,0.81,,,,,,,0.66,0.20
mobley_8785107, C[C@H]1CC[C@@H](O1)C," 2,5-dimethyltetrahydrofuran",-2.92,0.6,-1.79,0.03,-1.74,0.08,1.18,1.13,-2.533333,0.793333,,,,,,,0.63,1.39
mobley_2402487, CCOC(=O)CC(=O)OCC, diethyl propanedioate,-6,0.6,-6.72,0.03,-4.48,0.66,1.52,0.72,-5.273333,0.793333,,,,,,,0.63,2.31
mobley_2451097, c1ccc(cc1)C#N, benzonitrile,-4.1,0.6,-3.24,0.03,-3.7,0.05,0.40,0.86,-4.49,0.79,,,,,,,0.62,0.16
mobley_6739648, C1COCCO1," 1,4-dioxane",-5.06,0.6,-4.27,0.02,-4.33,0.11,0.73,0.79,-5.116667,0.786667,,,,,,,0.62,0.53
mobley_1563176, CCCCS, butane-1-thiol,-0.99,0.6,-0.17,0.02,0.39,0.08,1.38,0.82,-0.38,0.77,,,,,,,0.59,1.90
mobley_1674094, CCCCC#C, hex-1-yne,0.29,0.6,0.55,0.02,-0.09,0.08,0.38,0.26,-0.856667,0.766667,,,,,,,0.59,0.14
mobley_628086, C[C@@H](C(F)(F)F)O," 1,1,1-trifluoropropan-2-ol",-4.16,0.6,-3.52,0.03,-2.53,0.04,1.63,0.64,-3.293333,0.763333,,,,,,,0.58,2.66
mobley_8899867, C1CCC(C1)O, cyclopentanol,-5.49,0.6,-4.29,0.03,-4.06,0.05,1.43,1.20,-4.81,0.75,,,,,,,0.56,2.04
mobley_7608462, c1ccc(cc1)Cl, chlorobenzene,-1.12,0.6,-0.47,0.02,-0.45,0.08,0.67,0.65,-1.2,0.75,,,,,,,0.56,0.45
mobley_3414356, CCCC(C)(C)O, 2-methylpentan-2-ol,-3.92,0.6,-2.78,0.03,-1.83,0.1,2.09,1.14,-2.556667,0.726667,,,,,,,0.53,4.37
mobley_3323117, C1CC[S+2](C1)([O-])[O-], sulfolane,-8.61,0.31,-9.62,0.03,-9.45,0.07,0.84,1.01,-10.17,0.720000000000001,,,,,,,0.52,0.71
mobley_9979854, C[C@H](C(F)(F)F)O, 111-trifluoropropan-2-ol,-4.2,0.2,-3.49,0.03,-2.52,0.02,1.68,0.71,-3.236667,0.716667,,,,,,,0.51,2.82
mobley_646007, C1CCNC1, pyrrolidine,-5.48,0.6,-4.28,0.02,-4.97,0.06,0.51,1.20,-5.676667,0.706667,,,,,,,0.50,0.26
mobley_1199854, CCCI, 1-iodopropane,-0.53,0.6,-0.44,0.02,-0.45,0.03,0.08,0.09,-1.156667,0.706667,,,,,,,0.50,0.01
mobley_5759258, CCCCCO, pentan-1-ol,-4.57,0.6,-3.05,0.03,-3.89,0.05,0.68,1.52,-4.593333,0.703333,,,,,,,0.49,0.46
mobley_1079207, c1cc(cc(c1)Cl)Cl," 1,3-dichlorobenzene",-0.98,0.6,-0.11,0.03,-0.62,0.04,0.36,0.87,-1.306667,0.686667,,,,,,,0.47,0.13
mobley_8739734, CC(C)C(=O)C, 3-methylbutan-2-one,-3.24,0.6,-3.08,0.03,-4.17,0.1,0.93,0.16,-4.856667,0.686667,,,,,,,0.47,0.86
mobley_4506634, [C@@H](C(F)(F)F)(Cl)Br," 2-bromo-2-chloro-1,1,1-trifluoro-ethane",-0.11,0.6,0.21,0.02,-5.11,0.04,5.00,0.32,-5.78,0.669999999999999,,,,,,,0.45,25.00
mobley_4883284, c1ccc(cc1)N, aniline,-5.49,0.6,-5.54,0.03,-3.98,0.02,1.51,0.05,-4.646667,0.666667,,,,,,,0.44,2.28
mobley_210639, CC(C)I, 2-iodopropane,-0.46,0.6,-0.49,0.02,0.64,0.08,1.10,0.03,-0.026667,0.666667,,,,,,,0.44,1.21
mobley_8691603, Cc1cccc(c1)O, m-cresol,-5.49,0.6,-5.38,0.03,-4.52,0.01,0.97,0.11,-5.183333,0.663333000000001,,,,,,,0.44,0.94
mobley_9794857, CC(C)(C)OC, 2-methoxy-2-methyl-propane,-2.21,0.6,-0.69,0.03,-1.49,0.06,0.72,1.52,-2.15,0.66,,,,,,,0.44,0.52
mobley_8578590, CS(=O)C, methylsulfinylmethane,-9.28,0.57,-8.24,0.02,-10.51,0.13,1.23,1.04,-11.166667,0.656667000000001,,,,,,,0.43,1.51
mobley_5952846, C(=C(Cl)Cl)(Cl)Cl," 1,1,2,2-tetrachloroethylene",0.1,0.6,1.33,0.02,-0.77,0.02,0.87,1.23,-1.423333,0.653333,,,,,,,0.43,0.76
mobley_2481002, C([N+](=O)[O-])(Cl)(Cl)Cl, trichloro(nitro)methane,-1.45,0.1,-0.38,0.02,-10.07,0.07,8.62,1.07,-10.723333,0.653333,,,,,,,0.43,74.30
mobley_9100956, CC1CCCCC1, methylcyclohexane,1.7,0.6,1.68,0.03,2.29,0.05,0.59,0.02,1.643333,0.646667,,,,,,,0.42,0.35
mobley_4699732, C[C@@H](CCl)Cl," 1,2-dichloropropane",-1.27,0.6,-0.27,0.03,0.39,0.16,1.66,1.00,-0.25,0.64,,,,,,,0.41,2.76
mobley_9028462, COC(=O)C(F)(F)F," methyl 2,2,2-trifluoroacetate",-1.1,0.6,-1.35,0.02,-1.67,0.03,0.57,0.25,-2.296667,0.626667,,,,,,,0.39,0.32
mobley_4850657, CS(=O)(=O)Cl, methanesulfonyl chloride,-4.87,0.6,-6.22,0.02,-3.98,0.08,0.89,1.35,-4.6,0.620000000000001,,,,,,,0.38,0.79
mobley_8221999, CCCC#N, butanenitrile,-3.64,0.6,-2.29,0.02,-2.33,0.05,1.31,1.35,-2.946667,0.616667,,,,,,,0.38,1.72
mobley_5494918, C(=C(F)F)(C(F)(F)F)F," 1,1,2,3,3,3-hexafluoroprop-1-ene",2.93,0.6,2.31,0.02,0.62,0.07,2.31,0.62,0.02,0.6,,,,,,,0.36,5.34
mobley_1708457, CS(=O)(=O)C, methylsulfonylmethane,-10.08,0.6,-10.56,0.03,-13.06,0.11,2.98,0.48,-13.66,0.6,,,,,,,0.36,8.88
mobley_2789243, c1cc(cnc1)Cl, 3-chloropyridine,-4.01,0.6,-2.77,0.03,-3.4,0.02,0.61,1.24,-3.996667,0.596667,,,,,,,0.36,0.37
mobley_1144156, CCOCC, ethoxyethane,-1.59,0.6,-0.62,0.02,-0.92,0.06,0.67,0.97,-1.493333,0.573333,,,,,,,0.33,0.45
mobley_5973402, CC(C)CCO, 3-methylbutan-1-ol,-4.42,0.6,-3.24,0.03,-3.75,0.15,0.67,1.18,-4.323333,0.573333,,,,,,,0.33,0.45
mobley_3999471, CC(Cl)Cl," 1,1-dichloroethane",-0.84,0.6,0.19,0.02,-0.18,0.06,0.66,1.03,-0.736667,0.556667,,,,,,,0.31,0.44
mobley_2923700, CCc1ccc(cc1)O, 4-ethylphenol,-6.13,0.6,-5.45,0.03,-4.22,0.04,1.91,0.68,-4.773333,0.553333,,,,,,,0.31,3.65
mobley_7261305, NN, hydrazine,-9.3,0.6,-6.51,0.02,-6.75,0.02,2.55,2.79,-7.296667,0.546667,,,,,,,0.30,6.50
mobley_8118832, C=CCO, prop-2-en-1-ol,-5.03,0.6,-3.29,0.02,-4.98,0.09,0.05,1.74,-5.523333,0.543333,,,,,,,0.30,0.00
mobley_1019269, CCCCO, butan-1-ol,-4.72,0.6,-3.23,0.03,-4.08,0.08,0.64,1.49,-4.62,0.54,,,,,,,0.29,0.41
mobley_8882696, C1CCOC1, tetrahydrofuran,-3.47,0.6,-2.2,0.02,-2.46,0.05,1.01,1.27,-2.996667,0.536667,,,,,,,0.29,1.02
mobley_8685905, [C@@H](C(F)(F)F)(F)Br," 2-bromo-1,1,1,2-tetrafluoro-ethane",0.5,0.6,0.23,0.02,-0.14,0.07,0.64,0.27,-0.676667,0.536667,,,,,,,0.29,0.41
mobley_1261349, CC(C)(C)C, neopentane,2.51,0.6,2.51,0.02,2.63,0.02,0.12,0.00,2.096667,0.533333,,,,,,,0.28,0.01
mobley_5732611, Cc1c[nH]cn1, 4-methyl-1H-imidazole,-10.27,0.6,-8.21,0.03,-10.8,0.04,0.53,2.06,-11.32,0.52,,,,,,,0.27,0.28
mobley_1857976, C(CCl)Cl," 1,2-dichloroethane",-1.79,0.6,-0.36,0.02,0.6,0.06,2.39,1.43,0.09,0.51,,,,,,,0.26,5.71
mobley_1231151, CC(C)Cl, 2-chloropropane,-0.25,0.6,0.83,0.02,1.55,0.04,1.80,1.08,1.04,0.51,,,,,,,0.26,3.24
mobley_967099, CC(C)[N+](=O)[O-], 2-nitropropane,-3.13,0.6,-1.74,0.02,-5.02,0.03,1.89,1.39,-5.523333,0.503333000000001,,,,,,,0.25,3.57
mobley_1417007, C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl, captan,-9.01,1.93,-8.72,0.04,-10.04,0.16,1.03,0.29,-10.54,0.5,,,,,,,0.25,1.06
mobley_2493732, C=C(Cl)Cl," 1,1-dichloroethylene",0.25,0.6,1.11,0.02,0.41,0.09,0.16,0.86,-0.086667,0.496667,,,,,,,0.25,0.03
mobley_9246351, C(Br)Br, dibromomethane,-1.96,0.6,-0.41,0.02,-1.89,0.05,0.07,1.55,-2.375,0.485,,,,,,,0.24,0.00
mobley_3982371, CC(=O)OC, methyl acetate,-3.13,0.6,-3.83,0.02,-3.65,0.04,0.52,0.70,-4.133333,0.483333,,,,,,,0.23,0.27
mobley_3968043, C1CCC(=O)C1, cyclopentanone,-4.7,0.6,-3.89,0.02,-1.75,0.04,2.95,0.81,-2.213333,0.463333,,,,,,,0.21,8.70
mobley_5157661, CC(C)C, isobutane,2.3,0.2,2.54,0.02,2.72,0.05,0.42,0.24,2.256667,0.463333,,,,,,,0.21,0.18
mobley_7015518, COC, methoxymethane,-1.91,0.6,-0.85,0.02,-0.92,0.05,0.99,1.06,-1.36,0.44,,,,,,,0.19,0.98
mobley_8449031, CCN(CC)CC," N,N-diethylethanamine",-3.22,0.6,-1.96,0.03,-1.51,0.37,1.71,1.26,-1.946667,0.436667,,,,,,,0.19,2.92
mobley_511661, C=CC=C, butadiene,0.56,0.2,1.96,0.02,0.19,0.05,0.37,1.40,-0.23,0.42,,,,,,,0.18,0.14
mobley_1107178, CCI, iodoethane,-0.74,0.6,-0.61,0.02,-0.86,0.16,0.12,0.13,-1.276667,0.416667,,,,,,,0.17,0.01
mobley_6911232, CCOC, methoxyethane,-2.1,0.6,-0.71,0.02,-1,0.03,1.10,1.39,-1.403333,0.403333,,,,,,,0.16,1.21
mobley_6239320, c1(=O)[nH]c(=O)[nH]c(=O)[nH]1, cyanuric acid,-18.06,0.27,-21.76,0.03,-29.65,0.08,11.59,3.70,-30.043333,0.393333000000002,,,,,,,0.15,134.33
mobley_2198613, CCCl, chloroethane,-0.63,0.6,0.78,0.02,0.87,0.12,1.50,1.41,0.496667,0.373333,,,,,,,0.14,2.25
mobley_1977493, CCCCl, 1-chloropropane,-0.33,0.6,0.97,0.02,1.04,0.02,1.37,1.30,0.686667,0.353333,,,,,,,0.12,1.88
mobley_4364398, CI, iodomethane,-0.89,0.6,-0.64,0.02,-0.13,0.07,0.76,0.25,-0.48,0.35,,,,,,,0.12,0.58
mobley_6497672, C/C=C/C=O, but-2-enal,-4.22,0.6,-3.34,0.02,-5.44,0.25,1.22,0.88,-5.146667,0.293333000000001,,,,,,,0.09,1.49
mobley_1952272, C[N+](=O)[O-], nitromethane,-4.02,0.6,-2.08,0.02,-7.36,0.12,3.34,1.94,-7.65,0.289999999999998,,,,,,,0.08,11.16
mobley_1189457, CSc1ccccc1, methylsulfanylbenzene,-2.73,0.6,-1.32,0.03,-1.56,0.05,1.17,1.41,-1.816667,0.256667,,,,,,,0.07,1.37
mobley_9029594, CF, fluoromethane,-0.22,0.6,0.88,0.01,0.46,0.05,0.68,1.10,0.275,0.185,,,,,,,0.03,0.46
mobley_1929982, S, hydrogen sulfide,-0.7,0.6,-1.14,0.01,-0.54,0.11,0.16,0.44,-0.695,0.155,,,,,,,0.02,0.03
mobley_1017962, CCCCCC(=O)OC, methyl hexanoate,-2.49,0.6,-3.3,0.03,-3.65,0.05,1.16,0.81,-3.8,0.15,,,,,,,0.02,1.35
mobley_2518989, CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O, dialifor,-5.74,1.93,-16.52,0.07,-22.29,0.61,16.55,10.78,,,,,,,,,,
mobley_9534740, C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O," (2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",-25.47,0.22,-18.09,0.07,-14.92,0.4,10.55,7.38,,,,,,,,,1.36,111.30
mobley_2099370, C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O, ketoprofen,-10.78,0.18,-17.24,0.06,-9.16,0.08,1.62,6.46,,,,,,,,,,2.62
mobley_9571888, C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl, endosulfan alpha,-4.23,0.26,-9.79,0.04,,,,5.56,,,,,,,,,,
mobley_1527293, C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O, flurbiprofen,-8.42,0.16,-13.95,0.05,-5.4,0.13,3.02,5.53,,,,,,,,,,9.12
mobley_4587267, C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O," (2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",-23.62,0.32,-18.16,0.09,-17.05,1.01,6.57,5.46,,,,,,,,,,43.16
mobley_7326706, CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl, chlorpyrifos,-5.04,0.21,-9.62,0.05,-7.23,0.48,2.19,4.58,,,,,,,,,,4.80
mobley_8208692, c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",-4.61,0.25,-0.04,0.05,-2.12,0.13,2.49,4.57,,,,,,,,,,6.20
mobley_7754849, CCOP(=S)(OCC)SCSP(=S)(OCC)OCC, ethion,-6.1,1.37,-10.64,0.05,-14.51,0.16,8.41,4.54,,,,,,,,,,
mobley_5393242, CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C, diazinon,-6.48,0.13,-10.75,0.05,-15.32,0.73,8.84,4.27,,,,,,,,,,
mobley_2850833, c1ccc(c(c1)C=O)O, 2-hydroxybenzaldehyde,-4.68,0.1,-8.81,0.03,-5.72,0.05,1.04,4.13,,,,,,,,,,1.08
mobley_1770205, COP(=S)(OC)SCn1c(=O)c2ccccc2nn1," 3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",-10.03,1.37,-14.11,0.06,-16.45,0.14,6.42,4.08,,,,,,,,,,
mobley_2078467, C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O, ibuprofen,-7,0.64,-10.86,0.05,-2.46,0.13,4.54,3.86,,,,,,,,,,20.61
mobley_8311303, c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl," 1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",-4.38,0.22,-0.7,0.04,-2.53,0.04,1.85,3.68,,,,,,,,,,3.42
mobley_667278, c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",-4.4,0.1,-0.81,0.04,-2.68,0.17,1.72,3.59,,,,,,,,,,2.96
mobley_6198745, CC(=O)OCC(COC(=O)C)OC(=O)C," 2,3-diacetoxypropyl acetate",-8.84,0.2,-12.33,0.06,-9.87,0.11,1.03,3.49,,,,,,,,,,1.06
mobley_242480, c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N," 1,4-diamino-9,10-anthracenedione",-11.85,0.35,-15.25,0.04,-12.21,0.17,0.36,3.40,,,,,,,,,,0.13
